bfs_nr,municipality,canton,bfs_municipality_type_2012_25,electric_car_share,electric_car_count,electric_car_share_last_change,electric_car_charging_spot_count,electric_cars_per_charging_spot,electric_car_charging_spot_last_change,solar_potential_usage,solar_power_installed_kwp,solar_potential_usage_last_change,renewable_heating_share,renewable_heating_count,non_renewable_heating_count,no_heating_count,renewable_heating_share_coverage,renewable_heating_share_last_change,elec_consumption_mwh_per_year_per_capita,elec_consumption_households_mwh_per_year_per_capita,elec_consumption_mwh_per_year,elec_consumption_households_mwh_per_year,elec_consumption_date_from,elec_consumption_date_until,renelec_production_mwh_per_year_per_capita,renelec_production_mwh_per_year,renelec_production_water_mwh_per_year,renelec_production_solar_mwh_per_year,renelec_production_wind_mwh_per_year,renelec_production_biomass_mwh_per_year,renelec_production_waste_mwh_per_year,renelec_production_date_from,renelec_production_date_until
5560,Grandevent,VD,235,0.057143,10,2024-09-30,0,,2024-10-21,0.120083,348,2024-07-08,0.425532,40,54,66,1.0,2024-02-12,4.7124,3.7902,1114,896,2023-09-01,2024-08-31,1.5694,371,24,270,0,77,0,2023-10-01,2024-09-30
5561,Grandson,VD,227,0.050251,110,2024-09-30,4,27.5,2024-10-21,0.113779,3109,2024-10-07,0.243757,205,636,594,0.913431,2024-10-04,4.7561,2.2421,15988,7537,2023-09-01,2024-08-31,0.6589,2215,0,2215,0,0,0,2023-10-01,2024-09-30
5562,Mauborget,VD,335,0.04878,4,2024-09-30,0,,2024-10-21,0.10838,269,2024-04-15,0.395833,38,58,40,0.985507,2024-10-24,6.5989,5.4472,974,804,2023-09-01,2024-08-31,1.4431,213,0,213,0,0,0,2023-10-01,2024-09-30
5563,Mutrux,VD,325,0.050847,6,2024-09-30,0,,2024-10-21,0.054678,135,2024-10-07,0.275,11,29,32,0.878049,2024-08-16,3.2429,2.1303,478,314,2023-09-01,2024-08-31,0.6242,92,0,92,0,0,0,2023-10-01,2024-09-30
5564,Novalles,VD,235,0.026316,2,2024-09-30,0,,2024-10-21,0.01958,41,2023-10-16,0.441176,15,19,36,1.0,2023-11-17,4.0204,2.7653,394,271,2023-09-01,2024-08-31,0.3163,31,0,31,0,0,0,2023-10-01,2024-09-30
5565,Onnens (VD),VD,237,0.040498,13,2024-09-30,0,,2024-10-21,0.604217,8769,2024-10-07,0.486667,73,77,119,0.985348,2024-10-24,4.7802,2.7923,2371,1385,2023-09-01,2024-08-31,13.2883,6591,0,6591,0,0,0,2023-10-01,2024-09-30
5566,Provence,VD,335,0.048443,14,2024-09-30,0,,2024-10-21,0.051092,496,2024-04-15,0.544304,86,72,173,0.880319,2024-01-26,5.8469,3.4641,2444,1448,2023-09-01,2024-08-31,0.9211,385,0,385,0,0,0,2023-10-01,2024-09-30
5568,Sainte-Croix,VD,316,0.017229,48,2024-09-30,2,24.0,2024-10-21,0.048647,2168,2024-10-07,0.167862,234,1160,935,0.96399,2024-09-30,4.0698,1.9115,19871,9333,2023-09-01,2024-08-31,0.3525,1721,0,1643,0,78,0,2023-10-01,2024-09-30
5571,Tévenon,VD,237,0.045918,27,2024-09-30,0,,2024-10-21,0.108543,972,2024-10-07,0.516923,168,157,205,0.992509,2023-11-14,4.5443,3.2827,3919,2831,2023-09-01,2024-08-31,0.8615,743,0,743,0,0,0,2023-10-01,2024-09-30
5581,Belmont-sur-Lausanne,VD,113,0.072327,161,2024-09-30,2,80.5,2024-10-21,0.099,1762,2024-10-07,0.274752,222,586,325,0.98952,2024-08-16,2.6425,1.6709,10289,6506,2023-09-01,2024-08-31,0.3858,1502,0,1502,0,0,0,2023-10-01,2024-09-30
