period, operator, operatorLabel, product, category, gridusagename, gridusage before discount (cts./kWh), gridusagediscount discount (cts./kWh), gridusage after discount (cts./kWh), hereof grid: fixcosts (CHF p.a.), hereof grid: power price (CHF p.a.), hereof grid: working price (cts./kWh), energyname, energy before discount (cts./kWh), energy discount (cts./kWh), energy after discount (cts./kWh), hereof energy: fixcosts (CHF p.a.), hereof energy: power price (CHF p.a.), hereof energy: working price (cts./kWh), charge (cts./kWh), aidfee (cts./kWh), total (cts./kWh)
2025,CHE-106.948.866,Genossenschaft Licht- und Kraftwerke Glattfelden,standard,C3,Gewerbe alle Branchen Grosskunden,15.236333333333333,0,15.236333333333333,0,6240,9.88,Gewerbe alle Branchen Grosskunden,14.2,0,14.2,0,0,14.2,0,2.3,31.736333333333334
2025,CHE-106.948.866,Genossenschaft Licht- und Kraftwerke Glattfelden,standard,H5,Haushalt und Gewerbe Standard,12.76,0,12.76,36,0,10.38,Haushalt und Gewerbe Standard,14.68,0,14.68,36,0,14.2,0,2.3,29.74
2025,CHE-106.948.866,Genossenschaft Licht- und Kraftwerke Glattfelden,standard,H7,Haushalt und Gewerbe Standard,12.083076923076923,0,12.083076923076923,36,0,10.38,Haushalt und Gewerbe Standard,14.476923076923077,0,14.476923076923077,36,0,14.2,0,2.3,28.86
2025,CHE-105.005.063,Industrielle Betriebe Kloten AG,standard,H6,7 ibk.classic Netz,7.705113142857143,0,7.705113142857143,34.8,0,6.347113142857143,ibk.classic Energie,13.1692,0,13.1692,34.8,0,13.03,0.2312,2.3,23.405513142857142
2025,CHE-105.005.063,Industrielle Betriebe Kloten AG,standard,H4,7 ibk.classic Netz,9.810819047619047,0,9.810819047619047,34.8,0,7.140819047619048,ibk.classic Energie,13.803333333333333,0,13.803333333333333,34.8,0,13.03,0.6009,2.3,26.51505238095238
2025,CHE-105.005.063,Industrielle Betriebe Kloten AG,standard,C3,7 ibk.business Netz,10.044133333333333,0,10.044133333333333,34.8,6096,4.518133333333333,ibk.business Energie,11.6532,0,11.6532,34.8,0,11.63,0.1635,2.3,24.160833333333333
2025,CHE-105.005.063,Industrielle Betriebe Kloten AG,standard,C6,5 ibk.industrie M Netz,6.5908,0,6.5908,34.8,48624,2.24,ibk.industrie Energie,11.40232,0,11.40232,34.8,0,11.4,0.1514,2.3,20.44452
2025,CHE-105.005.063,Industrielle Betriebe Kloten AG,standard,H8,7 ibk.classic Netz,9.171038095238096,0,9.171038095238096,34.8,0,7.141038095238096,ibk.classic Energie,13.494,0,13.494,34.8,0,13.03,0.4205,2.3,25.385538095238097
2025,CHE-105.005.063,Industrielle Betriebe Kloten AG,standard,H7,7 ibk.classic Netz,8.492338461538461,0,8.492338461538461,34.8,0,6.868492307692308,ibk.classic Energie,13.297692307692307,0,13.297692307692307,34.8,0,13.03,0.3061,2.3,24.39613076923077
2025,CHE-105.005.063,Industrielle Betriebe Kloten AG,standard,C5,5 ibk.industrie M Netz,7.0744,0,7.0744,34.8,18234,2.24,ibk.industrie Energie,11.40696,0,11.40696,34.8,0,11.4,0.1541,2.3,20.93546
